flight,date,flightO,dateO
VJ231,13-05-20,VJ231,13-05-20
VJ241,13-05-20,VJ241,13-05-20
VJ243,13-05-20,VJ243,13-05-20
VJ245,13-05-20,VJ245,13-05-20
VJ249,13-05-20,VJ249,13-05-20
VJ261,13-05-20,VJ261,13-05-20
VJ271,13-05-20,VJ271,13-05-20
VJ275,13-05-20,VJ275,13-05-20
VJ277,13-05-20,VJ277,13-05-20
VJ281,13-05-20,VJ281,13-05-20
VJ301,13-05-20,VJ301,13-05-20
VJ303,13-05-20,VJ303,13-05-20
VJ305,13-05-20,VJ305,13-05-20
VJ307,13-05-20,VJ307,13-05-20
VJ309,13-05-20,VJ309,13-05-20
VJ322,13-05-20,VJ322,13-05-20
VJ326,13-05-20,VJ326,13-05-20
VJ373,13-05-20,VJ373,13-05-20
VJ377,13-05-20,VJ377,13-05-20
VJ383,13-05-20,VJ383,13-05-20
VJ387,13-05-20,VJ387,13-05-20
VJ6131,13-05-20,VJ6131,13-05-20
VJ6135,13-05-20,VJ6135,13-05-20
VJ6137,13-05-20,VJ6137,13-05-20
VJ621,13-05-20,VJ621,13-05-20
VJ625,13-05-20,VJ625,13-05-20
VJ637,13-05-20,VJ637,13-05-20
VJ647,13-05-20,VJ647,13-05-20
VJ6546,13-05-20,VJ6546,13-05-20
VJ6561,13-05-20,VJ6561,13-05-20
VJ863,13-05-20,VJ863,13-05-20
VN1185,13-05-20,VN1185,13-05-20
VN1189,13-05-20,VN1189,13-05-20
VN119,13-05-20,VN119,13-05-20
VN121,13-05-20,VN121,13-05-20
VN1263,13-05-20,VN1263,13-05-20
VN1265,13-05-20,VN1265,13-05-20
VN1269,13-05-20,VN1269,13-05-20
VN1275,13-05-20,VN1275,13-05-20
VN1277,13-05-20,VN1277,13-05-20
VN135,13-05-20,VN135,13-05-20
VN137,13-05-20,VN137,13-05-20
VN1371,13-05-20,VN1371,13-05-20
VN1373,13-05-20,VN1373,13-05-20
VN1375,13-05-20,VN1375,13-05-20
VN1395,13-05-20,VN1395,13-05-20
VN1397,13-05-20,VN1397,13-05-20
VN1401,13-05-20,VN1401,13-05-20
VN1427,13-05-20,VN1427,13-05-20
VN1461,13-05-20,VN1461,13-05-20
VN1463,13-05-20,VN1463,13-05-20
VN1826,13-05-20,VN1826,13-05-20
VN1828,13-05-20,VN1828,13-05-20
VN207,13-05-20,VN207,13-05-20
VN209,13-05-20,VN209,13-05-20
VN211,13-05-20,VN211,13-05-20
VN215,13-05-20,VN215,13-05-20
VN217,13-05-20,VN217,13-05-20
VN221,13-05-20,VN221,13-05-20
VN243,13-05-20,VN243,13-05-20
VN251,13-05-20,VN251,13-05-20
VN257,13-05-20,VN257,13-05-20
VN263,13-05-20,VN263,13-05-20
VN269,13-05-20,VN269,13-05-20
VN275,13-05-20,VN275,13-05-20
VN283,13-05-20,VN283,13-05-20
VN301,13-05-20,VN301,13-05-20
VN321,13-05-20,VN321,13-05-20
VN606,13-05-20,VN606,13-05-20
VN7183,13-05-20,VN7183,13-05-20
VN7243,13-05-20,VN7243,13-05-20
VN7245,13-05-20,VN7245,13-05-20
VN7263,13-05-20,VN7263,13-05-20
VN7275,13-05-20,VN7275,13-05-20
VN7291,13-05-20,VN7291,13-05-20
VN7485,13-05-20,VN7485,13-05-20
VN7673,13-05-20,VN7673,13-05-20
VN9523,13-05-20,VN9523,13-05-20
VZ3970,13-05-20,VZ3970,13-05-20
BL769,14-05-20,BL769,14-05-20
BL775,14-05-20,BL775,14-05-20
BR391,14-05-20,BR391,14-05-20
CI781,14-05-20,CI781,14-05-20
CI783,14-05-20,CI783,14-05-20
CX767,14-05-20,CX767,14-05-20
CX799,14-05-20,CX799,14-05-20
JL759,14-05-20,JL759,14-05-20
KE683,14-05-20,KE683,14-05-20
LD561,14-05-20,LD561,14-05-20
LD562,14-05-20,LD562,14-05-20
OZ395,14-05-20,OZ395,14-05-20
OZ735,14-05-20,OZ735,14-05-20
QH1123,14-05-20,QH1123,14-05-20
QH1155,14-05-20,QH1155,14-05-20
QH1173,14-05-20,QH1173,14-05-20
QH151,14-05-20,QH151,14-05-20
QH1522,14-05-20,QH1522,14-05-20
QH1545,14-05-20,QH1545,14-05-20
QH157,14-05-20,QH157,14-05-20
QH205,14-05-20,QH205,14-05-20
QH211,14-05-20,QH211,14-05-20
QH215,14-05-20,QH215,14-05-20
QH219,14-05-20,QH219,14-05-20
QR8968,14-05-20,QR8968,14-05-20
QR8970,14-05-20,QR8970,14-05-20
RH319,14-05-20,RH319,14-05-20
SQ178,14-05-20,SQ178,14-05-20
VJ121,14-05-20,VJ121,14-05-20
VJ125,14-05-20,VJ125,14-05-20
VJ129,14-05-20,VJ129,14-05-20
VJ133,14-05-20,VJ133,14-05-20
VJ139,14-05-20,VJ139,14-05-20
VJ141,14-05-20,VJ141,14-05-20
VJ143,14-05-20,VJ143,14-05-20
VJ145,14-05-20,VJ145,14-05-20
VJ151,14-05-20,VJ151,14-05-20
VJ153,14-05-20,VJ153,14-05-20
VJ157,14-05-20,VJ157,14-05-20
VJ165,14-05-20,VJ165,14-05-20
VJ173,14-05-20,VJ173,14-05-20
VJ177,14-05-20,VJ177,14-05-20
VJ207,14-05-20,VJ207,14-05-20
VJ213,14-05-20,VJ213,14-05-20
VJ221,14-05-20,VJ221,14-05-20
VJ225,14-05-20,VJ225,14-05-20
VJ231,14-05-20,VJ231,14-05-20
VJ241,14-05-20,VJ241,14-05-20
VJ243,14-05-20,VJ243,14-05-20
VJ245,14-05-20,VJ245,14-05-20
VJ249,14-05-20,VJ249,14-05-20
VJ271,14-05-20,VJ271,14-05-20
VJ275,14-05-20,VJ275,14-05-20
VJ277,14-05-20,VJ277,14-05-20
VJ281,14-05-20,VJ281,14-05-20
