date,flight,error
19-10-20,VJ283.csv,Multiple flights detected.
19-10-20,VN1822.csv,Multiple flights detected.
19-10-20,VN1866.csv,Multiple flights detected.
19-10-20,VN5571.csv,Did not land.
19-10-20,VN571.csv,Did not land.
19-10-20,VN7227.csv,Multiple flights detected.
20-10-20,QR970.csv,Multiple flights detected.
20-10-20,VJ301.csv,Multiple flights detected.
20-10-20,VN7229.csv,Multiple flights detected.
21-10-20,VN1265.csv,Did not land.
21-10-20,VN405.csv,Did not land at TSN.
21-10-20,VN409.csv,Did not land at TSN.
22-10-20,QR970.csv,Multiple flights detected.
24-10-20,QH8283.csv,Did not land.
24-10-20,VJ159.csv,Multiple flights detected.
24-10-20,VJ173.csv,Multiple flights detected.
24-10-20,VN7223.csv,Multiple flights detected.
25-10-20,5X146.csv,Did not land.
25-10-20,FX5194.csv,Did not land at TSN.
25-10-20,VJ145.csv,Multiple flights detected.
26-10-20,VJ315.csv,Multiple flights detected.
27-10-20,NH833.csv,Multiple flights detected.
28-10-20,EY975.csv,Multiple flights detected.
28-10-20,VJ133.csv,Multiple flights detected.
28-10-20,VJ181.csv,Multiple flights detected.
28-10-20,VN6023.csv,Multiple flights detected.
29-10-20,VJ363.csv,Did not land at TSN.
29-10-20,VN133.csv,Multiple flights detected.
29-10-20,VN141.csv,Multiple flights detected.
29-10-20,VN1415.csv,Multiple flights detected.
30-10-20,CI6877.csv,Multiple flights detected.
31-10-20,CI783.csv,Multiple flights detected.
31-10-20,FX5194.csv,Did not land.
31-10-20,NH833.csv,Multiple flights detected.
31-10-20,OZ395.csv,Multiple flights detected.
31-10-20,VJ133.csv,Multiple flights detected.
31-10-20,VJ189.csv,Multiple flights detected.
31-10-20,VJ221.csv,Multiple flights detected.
31-10-20,VJ271.csv,Did not land.
31-10-20,VJ326.csv,Did not land at TSN.
31-10-20,VN6015.csv,Multiple flights detected.
31-10-20,VN6433.csv,Did not land at TSN.
01-11-20,5X146.csv,Did not land.
01-11-20,CA609.csv,Multiple flights detected.
01-11-20,EY975.csv,Multiple flights detected.
01-11-20,QR970.csv,Multiple flights detected.
01-11-20,VJ247.csv,Multiple flights detected.
01-11-20,VJ281.csv,Did not land.
01-11-20,VJ313.csv,Multiple flights detected.
01-11-20,VJ383.csv,Multiple flights detected.
01-11-20,VN221.csv,Multiple flights detected.
01-11-20,VN253.csv,Multiple flights detected.
01-11-20,VN6435.csv,Multiple flights detected.
02-11-20,VJ133.csv,Multiple flights detected.
02-11-20,VJ147.csv,Multiple flights detected.
02-11-20,VJ215.csv,Multiple flights detected.
02-11-20,YG9046.csv,Did not land at TSN.
03-11-20,EY975.csv,Multiple flights detected.
03-11-20,LD561.csv,Did not land.
03-11-20,MF8685.csv,Multiple flights detected.
03-11-20,VJ159.csv,Multiple flights detected.
03-11-20,VJ179.csv,Multiple flights detected.
03-11-20,VJ181.csv,Multiple flights detected.
03-11-20,VJ315.csv,Multiple flights detected.
03-11-20,VJ6131.csv,Did not land.
03-11-20,VN674.csv,Did not land at TSN.
05-11-20,MU7053.csv,Multiple flights detected.
05-11-20,NH833.csv,Multiple flights detected.
05-11-20,VJ159.csv,Multiple flights detected.
05-11-20,VJ215.csv,Multiple flights detected.
05-11-20,VJ313.csv,Multiple flights detected.
06-11-20,ZH8011.csv,Multiple flights detected.
